industry_group_id,industry_group_description,notes,date_created_or_last_modified
0,"Global, applies to all",,1998-10-01
1,"On-Highway Equipment",,1998-10-01
2,"Agricultural and Forestry Equipment",,1998-10-01
3,"Construction Equipment",,1998-10-01
4,Marine,,1998-10-01
5,"Industrial-Process Control-Stationary (Gen-Sets)",,1998-10-01
6,"Reserved for future assignment by SAE",,2000-05-10
7,"Reserved for future assignment by SAE",,2000-05-10
